portfolio_return,equity_curve,portfolio_dd_exposure
0.0029171886786594605,1.0029171886786594,1.0
0.00597312807604472,1.0089077414963037,1.0
-0.00230263813849459,1.0065845920525118,1.0
-0.0008395938594713622,1.005739469809986,0.9948487746094772
-0.008181604571088057,0.9975109071664648,0.9929799026661498
-0.009288150723656591,0.9882458755122112,0.9751562385314053
-0.0025685729820574695,0.9857074938567408,0.9556025467912469
0.006867846483566137,0.9924771816022496,0.950299648645965
0.0020260933782527885,0.994488033047961,0.9646781764838774
0.015867196184348294,1.0102677697713196,0.9689838811543849
0.023384691744328785,1.0338925701466524,1.0
0.0086277766746581,1.042812764347466,1.0
0.01918375376734116,1.0628178276441482,1.0
0.02174554471135494,1.0859293802352092,1.0
0.00317408388686209,1.089376211183284,1.0
0.00469863416029753,1.0944947914625653,1.0
0.00413954078649539,1.0990254972924316,1.0
-0.01820807705348546,1.0790143563539858,1.0
-0.02030577621415108,1.0571041323020054,0.9608413776307243
-0.006829611880841653,1.0498845213607488,0.920355939799705
-0.0048998152741330046,1.0447402811469098,0.9073825771368429
-0.012145874636117137,1.0320509966647975,0.8982955840669635
-0.0014202769484311707,1.030585198424629,0.8766569116192211
0.014818009983759088,1.0458564201839995,0.8741897106865053
0.01084802687598819,1.0572018987385805,0.9009077229516388
0.0074359242420285404,1.0650631719661294,0.921568948195833
0.013324318867984892,1.0792544132839534,0.936268605456429
0.017217144749006142,1.097836092738467,0.963855205155081
0.03134672455872646,1.132249658348168,1.0
0.02819948524815589,1.1641785158859868,1.0
0.018218800576261702,1.1853884521020819,1.0
0.00417260021767163,1.1903346042153484,1.0
-0.011860564069300784,1.1762165643781464,1.0
-0.011669668859220068,1.1624905065651239,0.974089603713444
-0.00954147031865474,1.1513986379010148,0.94971621296681
-0.005721254155914638,1.1448111936588092,0.9305859401044625
-0.01613498097791994,1.1263396868258144,0.9194450298137731
0.0010215391795016424,1.1274902869453347,0.8895836482783472
-0.008617821467380696,1.117773776946234,0.8914286363941568
-0.018444897108942822,1.0971565546393862,0.8761869922204567
-0.014632473661975343,1.0811024402505618,0.8455943322541741
-0.0029806207748258374,1.077880083857436,0.8230728232321987
-0.0023354090519057706,1.0753627929527265,0.8186584136844756
-0.0047531646229369935,1.070251416568441,0.8152435752445935
-0.0018282185913607953,1.0682947630312403,0.8084180628996268
-0.003068127259680598,1.0650170987474101,0.8058331974784986
0.002146895076177889,1.067303578712756,0.8015492494753029
0.001564225718746638,1.068973082420289,0.804543858529027
0.0003725911445393608,1.0693713723245497,0.8067458208503291
0.00046777240066502756,1.0698715947385844,0.8072727034049474
-0.00021084559143535659,1.0696460170294317,0.8079355863654738
-0.0011712498697962167,1.068393194271258,0.8076366568683022
0.0021039472358284285,1.0706410371791228,0.8059822163498815
0.01074291728563433,1.082142845284144,0.8089635728942639
0.012519441507440793,1.0956906693383743,0.8247189990056598
0.005596185034669749,1.101822357064753,0.8441702180894763
0.00043353530366409433,1.102300035954907,0.8532284970282235
-0.006629769493643757,1.0949920408036908,0.8539388750677399
-0.00634737939521084,1.0880417108859737,0.8432585116264002
-0.010292871016093797,1.0768426378956943,0.8333382988055374
-0.0038259240059608703,1.072722719796727,0.8178959198542403
-0.0034168131557789903,1.0690574266952226,0.8123385498383343
-0.003964771302827509,1.0648188584887868,0.8074626878221203
-0.00017307514423377292,1.064634564811271,0.8019084444679396
-0.00262949375404015,1.0618351148727645,0.8016682572376429
-0.0037575156458028005,1.0578452528153672,0.7980468862090054
0.003058350893365474,1.0610805147893576,0.7929559848932133
0.006196951742763768,1.0676559795346943,0.7970986184786971
1.3965917736358126e-05,1.0676708903302752,0.8056984996949281
-0.002808048425130412,1.0646728187681258,0.8057181564162076
0.0015325153793358654,1.066304446236849,0.801796153572453
-0.011230299369214259,1.054329528086885,0.8039320789694964
-0.007631428320699467,1.046283487866893,0.7887014649262988
0.0005850854426159748,1.0468956531044933,0.7788275911755667
0.0022582943637441378,1.0492598516573275,0.7795720652152109
0.007202470248170165,1.0568171145214889,0.7824677536390655
0.005357292742806828,1.0624787931795887,0.791941472716463
0.01580797907444804,1.0792744357092166,0.7992164405727424
0.007348450610612062,1.087205430595322,0.8219261072667625
0.008292763690501095,1.0962213683142785,0.8330799854787883
0.015416528225725663,1.1131212959805392,0.8461562502715246
0.017472089949162457,1.1325698513882396,0.8719390642023234
0.02224094733245014,1.1577592778032864,0.9034856147199881
0.017050938749385295,1.1775001603356428,0.9474162803607361
0.00683134784063732,1.1855440735133016,0.9838654278782833
-0.002239920444998604,1.1828885491045922,0.999078528348594
-0.007387524705907101,1.1741499307237475,0.9940745404977187
-0.0022906872357996173,1.1714603204645235,0.9779186631788555
-0.00567999029549281,1.16480643721273,0.9729859406798778
-0.008403427459002565,1.1550180708138336,0.9609665789597859
-0.007821719835537061,1.1459838430589453,0.9436969808377903
-0.0005981959224852997,1.1452983201967935,0.9281335729935841
-0.0021326822301223976,1.1428557628211207,0.9269592426886508
-0.00249668213035879,1.1400024152605075,0.9227995624686745
0.010232029131880703,1.1516669531838675,0.9179777051455595
-0.0008064442340393051,1.1507381980099387,0.9381961685989052
-0.0005958409602044882,1.1500525410570925,0.9365804307154493
-0.00839676620902986,1.1403958187417353,0.9353899387956883
-0.0025066127683972413,1.1375372880214505,0.9189876593173875
0.001519403909660836,1.1392656666242553,0.9141867114955338
0.00340347410865185,1.1431431278234871,0.9170966505568894
0.005699101686486862,1.1496580167511619,0.923689483799631
0.010707072705981454,1.161967488723531,0.9349557319920541
0.010590140781476545,1.1742728880126119,0.956913348308789
0.005215571535556195,1.1803973922623059,0.979585717628966
0.007492630914630383,1.1892416742551195,0.9910663968377607
0.012509111476733965,1.2041180309311545,1.0
0.02085887989301637,1.2292345843153627,1.0
0.01818504695233833,1.2515882729465757,1.0
0.00848614910787613,1.2622094376524695,1.0
0.007069638852774379,1.271132802533236,1.0
0.0029599727232424004,1.274895320956353,1.0
0.00730507860973199,1.2842085314951186,1.0
0.0036781473669923698,1.2889320397239066,1.0
0.0074063281430940195,1.2984782933642494,1.0
0.00446045370899271,1.3042700956839324,1.0
0.00280900912255887,1.3079338022809892,1.0
0.005286370288428866,1.3148480246725993,1.0
0.0031332641124568704,1.3189677908016408,1.0
0.0016413956312482,1.3211327387712197,1.0
-0.0035883568299106138,1.3163920430848315,1.0
-0.0012745930012956945,1.314714178999754,0.9919981951130893
0.003983647320142233,1.3199515366156793,0.9891778603906286
0.009066291464388022,1.3319186019655038,0.9980669205774817
0.006274815429113571,1.3402761453594405,1.0
0.00809420940313493,1.3511246211380064,1.0
-0.0038892990128099403,1.3458696934828311,1.0
-0.0030745649146605306,1.3417317297435438,0.9913336157300332
-0.003931364149845608,1.3364568937225196,0.9845687603413973
-0.005308656107032831,1.3293621036718735,0.9760380274237894
-0.01086499253092622,1.3149185943445822,0.9647314903574559
-0.005658271052232935,1.3074784285261596,0.9423834347078883
-0.008001137716208485,1.29701711355855,0.9310920973253733
-0.003028596434210883,1.293088972153316,0.9155865012366804
-0.0023181208542891038,1.2900914356405162,0.9098369430660707
0.0004715220555896649,1.2906997422061481,0.9054844372787694
