Strategy,Sharpe,MDD,CAGR,Vol,Calmar,Avg_Exposure
Weighted multi-strategy + smooth DD,1.851,-0.476,0.384,0.185,0.807,1.0
Weighted multi-strategy + strategy DD + portfolio DD,2.09,-0.367,0.377,0.159,1.026,0.797
