Date,p_high_vol_calibrated
2014-01-23,0.05736862037701088
2014-01-24,0.06311498995088748
2014-01-27,0.06305788476035853
2014-01-28,0.06414634835921032
2014-01-29,0.0634620275597362
2014-01-30,0.06788394580386785
2014-01-31,0.061978454880034416
2014-02-03,0.06892528351069148
2014-02-04,0.06936098316621556
2014-02-05,0.06870176748349043
2014-02-06,0.07007914171257142
2014-02-07,0.072241880894153
2014-02-10,0.05985864127451293
2014-02-11,0.06015566911439549
2014-02-12,0.05954116726159652
2014-02-13,0.05878287115946295
2014-02-14,0.05765304352753105
2014-02-18,0.05775393890828821
2014-02-19,0.05840207162987155
2014-02-20,0.05878521856160662
2014-02-21,0.05864559724810841
2014-02-24,0.058472742258109445
2014-02-25,0.05848480277764473
2014-02-26,0.056970046618906436
2014-02-27,0.056789553195195866
2014-02-28,0.0564159645192832
2014-03-03,0.05783539607179403
2014-03-04,0.060573832758183815
2014-03-05,0.0604923984012868
2014-03-06,0.06037816917916688
2014-03-07,0.060364975887885544
2014-03-10,0.05873083025335776
2014-03-11,0.05612295002560961
2014-03-12,0.05603586213043145
2014-03-13,0.05789382551662168
2014-03-14,0.05755802735112735
2014-03-17,0.060263729115616047
2014-03-18,0.06107042251360596
2014-03-19,0.06152736848738241
2014-03-20,0.05923899083719625
2014-03-21,0.059495014370574695
2014-03-24,0.05888458578586205
2014-03-25,0.05829328806635356
2014-03-26,0.05874836488976902
2014-03-27,0.057519488004939126
2014-03-28,0.058360380776386625
2014-03-31,0.059128244150971565
2014-04-01,0.05929922225916715
2014-04-02,0.05706779941164422
2014-04-03,0.05682956562169841
2014-04-04,0.06102236272082086
2014-04-07,0.06144957999790311
2014-04-08,0.0607001088305341
2014-04-09,0.06326102280642461
2014-04-10,0.06829938229455552
2014-04-11,0.06790466543922065
2014-04-14,0.06898009597950028
2014-04-15,0.06958110181268189
2014-04-16,0.06955853694233635
2014-04-17,0.06109564724804155
2014-04-21,0.057113570833664265
2014-04-22,0.05701539389672903
2014-04-23,0.058024915361338074
2014-04-24,0.05635554996834221
2014-04-25,0.05851014160709062
2014-04-28,0.0584562346970215
2014-04-29,0.058461660725103635
2014-04-30,0.05843008103144254
2014-05-01,0.05839716771561591
2014-05-02,0.05623886323131092
2014-05-05,0.056122554265097754
2014-05-06,0.05783524741176309
2014-05-07,0.05851003869065168
2014-05-08,0.05845647884252255
2014-05-09,0.0582308349646377
2014-05-12,0.059715106137888115
2014-05-13,0.057283791810184406
2014-05-14,0.058094130553250106
2014-05-15,0.059680784699425206
2014-05-16,0.05986983988255626
2014-05-19,0.058231296647421556
2014-05-20,0.058504306466351054
2014-05-21,0.060058792081564394
2014-05-22,0.05819267705161696
2014-05-23,0.058171101026927484
2014-05-27,0.05840797719903922
2014-05-28,0.056649452929257375
2014-05-29,0.05607992720260299
2014-05-30,0.05614719216973018
2014-06-02,0.05621046719090063
2014-06-03,0.05585846517194274
2014-06-04,0.055607671906888013
2014-06-05,0.05597471971300625
2014-06-06,0.056118882934083326
2014-06-09,0.0561315757903031
2014-06-10,0.055976178885933904
2014-06-11,0.056907389636810315
2014-06-12,0.05737913384623879
2014-06-13,0.05689640924447811
2014-06-16,0.056873368447974526
2014-06-17,0.05717738805781123
2014-06-18,0.05787726383996554
2014-06-19,0.055828001346475156
2014-06-20,0.055852171662940264
2014-06-23,0.05601844445338086
2014-06-24,0.0574606050857741
2014-06-25,0.05679412068576033
2014-06-26,0.056771772390136845
2014-06-27,0.05676372082126616
2014-06-30,0.056768646848465505
2014-07-01,0.056290459898695
2014-07-02,0.056146628231463346
2014-07-03,0.05608701743071512
2014-07-07,0.05693618708097719
2014-07-08,0.05813691435658669
2014-07-09,0.057681431149052075
2014-07-10,0.05790540625063913
2014-07-11,0.057187018201158735
2014-07-14,0.057750172241247136
2014-07-15,0.05681730303405526
2014-07-16,0.056700571626278694
2014-07-17,0.05915792504616495
2014-07-18,0.060980149495321476
2014-07-21,0.06071664581534384
2014-07-22,0.060914582751327204
2014-07-23,0.06076116342556118
2014-07-24,0.06719797055209263
2014-07-25,0.06583465004219216
2014-07-28,0.06564852835223045
2014-07-29,0.06534599905418637
2014-07-30,0.06478705797392631
2014-07-31,0.07307017550660434
2014-08-01,0.07317039473600491
2014-08-04,0.07629922114986469
2014-08-05,0.07706613526061681
2014-08-06,0.07706840317150362
2014-08-07,0.07001026846221395
2014-08-08,0.07423834317125298
2014-08-11,0.07310547904734452
2014-08-12,0.07008023543366049
2014-08-13,0.0706175948286799
2014-08-14,0.06779127181943312
2014-08-15,0.06595741640401347
2014-08-18,0.06711274429498507
2014-08-19,0.06582838540300946
2014-08-20,0.06577294690906389
2014-08-21,0.06580321365186564
2014-08-22,0.06631925058685229
2014-08-25,0.06527213057242216
2014-08-26,0.06500643426997187
2014-08-27,0.0651718620782713
2014-08-28,0.06481711505416111
2014-08-29,0.06459710481036002
2014-09-02,0.06363974423561107
2014-09-03,0.06358352932994929
2014-09-04,0.06374511628740302
2014-09-05,0.06456650032239251
2014-09-08,0.06463009870317618
2014-09-09,0.06601322639053851
2014-09-10,0.0667436359926027
2014-09-11,0.06669311272947867
2014-09-12,0.06657840875937181
2014-09-15,0.06659542959794354
2014-09-16,0.0673133719579983
2014-09-17,0.06702371404813615
2014-09-18,0.06761777830073172
2014-09-19,0.06583827084943877
2014-09-22,0.06866409329766957
2014-09-23,0.06778968223829884
2014-09-24,0.06996928213948155
2014-09-25,0.07386632306998113
2014-09-26,0.07724536210341806
2014-09-29,0.07645003008653715
2014-09-30,0.07599728919051105
2014-10-01,0.07596923073150906
2014-10-02,0.07214325865559758
2014-10-03,0.07414164144268269
2014-10-06,0.07413174195196968
2014-10-07,0.07874640213278579
2014-10-08,0.08341516177651068
2014-10-09,0.09436911677556238
2014-10-10,0.09030301441604771
2014-10-13,0.09148532335300853
2014-10-14,0.09180061485880267
2014-10-15,0.07433765862397841
2014-10-16,0.07244775766661897
2014-10-17,0.07871612711266625
2014-10-20,0.07313660987573822
2014-10-21,0.07940927869945892
2014-10-22,0.07963398314176853
2014-10-23,0.07782934532196324
2014-10-24,0.07759747746854771
2014-10-27,0.07948438062353791
2014-10-28,0.07468245423389343
2014-10-29,0.07140181702837299
2014-10-30,0.07006150308891983
2014-10-31,0.0712121028840758
2014-11-03,0.07047153838417397
2014-11-04,0.07051571394850903
2014-11-05,0.06985368851083813
2014-11-06,0.06940458315188669
2014-11-07,0.06663849180141984
2014-11-10,0.06639584594318997
2014-11-11,0.06475145342988681
2014-11-12,0.06444648081212721
2014-11-13,0.06391919199901967
2014-11-14,0.06394033025870971
2014-11-17,0.06330656413175369
2014-11-18,0.06485446423011591
2014-11-19,0.06492464208673086
2014-11-20,0.064862629043246
2014-11-21,0.0652708994977254
2014-11-24,0.06508563641736705
2014-11-25,0.06478642971886146
2014-11-26,0.06415857649671083
2014-11-28,0.06496797144013983
2014-12-01,0.06601577039026828
2014-12-02,0.06731786249507112
2014-12-03,0.06762790724770519
2014-12-04,0.06751276134494519
2014-12-05,0.06734627713534709
2014-12-08,0.06735964863792895
2014-12-09,0.0660308416899043
2014-12-10,0.07070873562629812
2014-12-11,0.07273158552641439
2014-12-12,0.07511376950436793
2014-12-15,0.0751583389099658
2014-12-16,0.0739176512066558
2014-12-17,0.08660505700757598
2014-12-18,0.10166283346919777
2014-12-19,0.09063895304676903
2014-12-22,0.08527167965910024
2014-12-23,0.07867183389099165
2014-12-24,0.07772638976923539
2014-12-26,0.06477955582546623
2014-12-29,0.06461569004143217
2014-12-30,0.06630237182435755
2014-12-31,0.06921202996536904
2015-01-02,0.06911835133170723
2015-01-05,0.07335096601437067
2015-01-06,0.07104867858457277
2015-01-07,0.08173407268892845
2015-01-08,0.09120349764943828
2015-01-09,0.09255688297105874
2015-01-12,0.08563829989719018
2015-01-13,0.08267402861820031
2015-01-14,0.07992112584095908
2015-01-15,0.06554380145466115
2015-01-16,0.07575979254334238
2015-01-20,0.07456816031442788
2015-01-21,0.0749606671318936
2015-01-22,0.07663793485538997
2015-01-23,0.0960001810352813
2015-01-26,0.09551739996920881
2015-01-27,0.09725787439520668
2015-01-28,0.09792280660445914
2015-01-29,0.09680815586760826
2015-01-30,0.09723303979541902
2015-02-02,0.0987439129862615
2015-02-03,0.09912974928002526
2015-02-04,0.09787981192962043
2015-02-05,0.09792999247276711
2015-02-06,0.09619759569946532
2015-02-09,0.09629542619195608
2015-02-10,0.09571298878905204
2015-02-11,0.0954259661771696
2015-02-12,0.09537005685835907
2015-02-13,0.09501924499488194
2015-02-17,0.09425070776821216
2015-02-18,0.09396231171124785
2015-02-19,0.09406508606098349
2015-02-20,0.09349699712792604
2015-02-23,0.09346062639574232
2015-02-24,0.09349247697377462
2015-02-25,0.09351699887441232
2015-02-26,0.09351142213729811
2015-02-27,0.09320615981818112
2015-03-02,0.09376573324179491
2015-03-03,0.09387049425972568
2015-03-04,0.09395449392877075
2015-03-05,0.09399821601194941
2015-03-06,0.09534510590630058
2015-03-09,0.09505626973450998
2015-03-10,0.09614206596375337
2015-03-11,0.09616526160134137
2015-03-12,0.0978737351166985
2015-03-13,0.097103828727522
2015-03-16,0.09820905734918037
2015-03-17,0.09635318806274999
2015-03-18,0.09648836819811894
