Date,portfolio_return,equity_curve,drawdown
0,0.0028222831589799274,1.00282228315898,0.0
1,0.005998174520500482,1.0088373862264142,0.0
2,-0.0023435862274696663,1.0064730888222975,-0.002343586227469663
3,-0.0006899019453803449,1.005778721080346,-0.0030318713281525245
4,-0.008208144677217009,0.9975231438244522,-0.011215129966865356
5,-0.009769975401452987,0.9877773672469072,-0.02087553382441798
6,-0.0029293818899781827,0.9848837901159638,-0.02374376330366723
7,0.007704617207572957,0.992471942712751,-0.016222082703416296
8,0.0020629666750421436,0.9945193792564818,-0.014192581644390967
9,0.01693937245517034,1.0113659134355921,0.0
10,0.02353606882637281,1.0351694911828597,0.0
11,0.008652497408440415,1.0441262925226158,0.0
12,0.019075851503275943,1.0640438906294432,0.0
13,0.022030419168337874,1.0874852235535188,0.0
14,0.003085060955598804,1.0908401817564943,0.0
15,0.004705332057134096,1.0959729470329234,0.0
16,0.003893784450251705,1.1002404294519768,0.0
17,-0.018408357187038968,1.0799868106350037,-0.018408357187038926
18,-0.0223576135978269,1.0558408828320767,-0.04035440384790734
19,-0.008638322430555062,1.0467201888508113,-0.048644131926531387
20,-0.00586275574102738,1.040583524054377,-0.05422169900383911
21,-0.015143229320563636,1.0248257291224214,-0.06854383670223696
22,-0.002355006502003137,1.022412257866918,-0.07073742202313416
23,0.01948206852459638,1.0423309635350686,-0.05263346480164566
24,0.013590620781783826,1.0564968883895849,-0.039758165480412555
25,0.008746199374897226,1.0657372208143987,-0.03135969894758717
26,0.0153275466490168,1.0820723577820248,-0.01651281954708872
27,0.018809171663237426,1.102425242511591,0.0
28,0.032395079920849064,1.1381383963495153,0.0
29,0.02836683677123416,1.1704237824618362,0.0
30,0.01827438141795859,1.1918125530831938,0.0
31,0.004318280657987571,1.1969591341791197,0.0
32,-0.011840528884126632,1.1827865049777526,-0.011840528884126678
33,-0.01231044715196261,1.1682258742161695,-0.024005213831009842
34,-0.010709723634442794,1.155714497960709,-0.034457848259536794
35,-0.00660140650589296,1.1480851567549164,-0.04083178450175018
36,-0.019150882538440713,1.1260983127737758,-0.059200702331362876
37,0.0014231827844918314,1.1277009565061609,-0.05786177296725881
38,-0.010913078955480958,1.1153942669296377,-0.06814340182584389
39,-0.024509958585744156,1.0880559996404158,-0.09098316845494492
40,-0.020952455871191263,1.0652585543225652,-0.1100293035040627
41,-0.004566037548288727,1.0603945437648925,-0.11409294312113993
42,-0.003526335849068682,1.0566552364710575,-0.11721694893475476
43,-0.007295370660253664,1.0489465448609032,-0.12365717850486535
44,-0.002889683521645798,1.0459154213151314,-0.12618953191545246
45,-0.0049560836551804455,1.0407317769908504,-0.13052020969405176
46,0.0033373920966256075,1.0442051069980867,-0.12761841471370905
47,0.0025353314334473206,1.046852513028825,-0.12540663825857212
48,0.0005904599390211182,1.0474706374998322,-0.12489022591553012
49,0.0007534075824326263,1.0482598098205,-0.12423091157627397
50,-0.000290567003381624,1.0479552201087952,-0.12448538117595143
51,-0.001873642710898327,1.0459917264492904,-0.12612578275979613
52,0.003286102287026061,1.0494289622537858,-0.12325414269594992
53,0.016753010703515744,1.0670100568910028,-0.10856600996427213
54,0.018836155699462065,1.0871084244554936,-0.09177482053216646
55,0.007953439450799554,1.0957546754858545,-0.08455130655957754
56,0.000550422139228483,1.0963578031184051,-0.08404742333138004
57,-0.009247260036125846,1.0862194974203336,-0.0925174749885942
58,-0.00910569580465367,1.0763287130997403,-0.10078073480938698
59,-0.015250019171803606,1.0599146795898067,-0.114493845843199
60,-0.005312610188611842,1.0542837660639586,-0.11919819485985095
61,-0.005092526784062308,1.0489147977472757,-0.12368370164397757
62,-0.006185109462651447,1.042427144906214,-0.12910381387321512
63,-0.00031034689754510614,1.0421036308758755,-0.1293740938026634
64,-0.004083257366679433,1.0378484535482582,-0.13292908344776566
65,-0.006027387642499786,1.031592938604554,-0.1381552559753635
66,0.005108256407342828,1.0368625798429503,-0.13375273203956495
67,0.009899301583918415,1.0471267952218952,-0.12517748908777926
68,-1.0740772234879797e-05,1.0471155482714867,-0.12518688535711497
69,-0.004487248142976732,1.0424168809720233,-0.12911238888124799
70,0.0024295151549071996,1.044949448582076,-0.126996554231814
71,-0.01762386086671693,1.026533404887513,-0.14238224549619694
72,-0.01281207264277083,1.0133813843338633,-0.15337010646662963
73,0.0010796564673583378,1.0144754880993598,-0.15245603702661747
74,0.003775633731084282,1.0183057759715861,-0.14925602145143824
75,0.012269339146911484,1.0307997148922403,-0.13881795505143313
76,0.008739573717317983,1.0398084649883315,-0.13129159108557442
