Date,portfolio_return,equity_curve,drawdown
0,0.006143976347764568,1.0061439763477646,0.0
1,0.0051215489645516764,1.0112969919880186,0.0
2,-0.0009104031133448387,1.0103763040579963,-0.0009104031133450041
3,-0.006055035864528354,1.0042584393002554,-0.006959926454370935
4,-0.011647808467314474,0.9925610293476018,-0.01852666703139838
5,-0.009685944098905852,0.9829471387025884,-0.028033162869099182
6,0.001843211576252192,0.984758918247489,-0.026241622343166293
7,0.004262299414608091,0.9889562556082652,-0.022091172580109952
8,0.006662142910737908,0.9955448235155956,-0.015576204218166634
9,0.015438319983950528,1.0109143630593949,-0.00037835465907154475
10,0.01834709954624339,1.0294617095111729,0.0
11,0.007787271726060575,1.0374784075747112,0.0
12,0.022852430745560037,1.0611873110338261,0.0
13,0.012059813173936527,1.073985031747446,0.0
14,0.00620086354981623,1.080644666383857,0.0
15,0.004470905667857053,1.085476126747732,0.0
16,0.012495256218782017,1.099039429070816,0.0
17,-0.011398552512666815,1.086511970425061,-0.01139855251266686
18,-0.011325351081837205,1.0742068409053784,-0.022594810985473335
19,0.005724051801716394,1.0803556565084789,-0.01700009305228789
20,-0.007918333403589292,1.0718010402257911,-0.024783814051197117
21,-0.014054162553185614,1.0567377741817845,-0.03848966085301919
22,0.00856291539771093,1.0657865303396685,-0.030256329164879192
23,0.019503322158144643,1.0865729083926943,-0.011343105941760134
24,0.009497052334416136,1.0968921481688585,-0.0019537796781076144
25,0.008642613821631345,1.1063721634094617,0.0
26,0.012817824257742673,1.1205534473637027,0.0
27,0.014379273372481245,1.1366661917118217,0.0
28,0.013761802401268865,1.1523087672383627,0.0
29,0.022509533463496205,1.1782466999947947,0.0
30,0.01632905195856886,1.197486351579022,0.0
31,-0.0007805347530691811,1.1965516718652884,-0.000780534753069273
32,-0.012697552540801021,1.1813583941439956,-0.013468176412833266
33,-0.012039723369154967,1.1671351658786728,-0.025345746663690716
34,-0.0063880994873310995,1.1596793903238771,-0.031571934999753526
35,-0.007210982477164467,1.1513169625611228,-0.03855525280686456
36,-0.01883484638801338,1.12963208442737,-0.05666391693080963
37,-0.002725812342890923,1.1265529193487123,-0.059235274069533994
38,-0.010556396400197152,1.114660580166268,-0.06916635943577887
39,-0.013575521458397168,1.0995284815413913,-0.08180291149745644
40,-0.013506831826962128,1.0846773352522567,-0.09420484515586647
41,-0.0019025215238027155,1.0826137132755582,-0.09592813993411375
42,-0.0039649930535598146,1.078321157422732,-0.09951277857919383
43,-0.006790657559332568,1.070998647703691,-0.10562767893641756
44,-0.0018372528810017617,1.0690309523526484,-0.10727086705997979
45,-0.0012514195623022921,1.0676931461061676,-0.1083880457607782
46,0.005217433129740446,1.0732637636990587,-0.10373612001185784
47,0.0007416483764902003,1.0740597480269518,-0.10307140736035791
48,0.0004117747819173853,1.074502018745462,-0.10270207478472815
49,0.0001912326953683527,1.0747074986626854,-0.10253048208394078
50,-0.0012855505829984378,1.073325907811227,-0.10368422454592097
51,-0.0007323377077234304,1.0725398707762603,-0.10434063038631336
52,0.0036904961855272075,1.076498075078186,-0.1010352028992223
53,0.015973857926213475,1.0936939023873273,-0.0866752669496671
54,0.014846611874801106,1.1099315512659087,-0.07311548912241239
55,0.007483919391916222,1.1182381895261273,-0.06617876015738877
56,0.0018588176870687617,1.1203167904511744,-0.06444295672020872
57,-0.007250919372249422,1.1121934637322357,-0.07122660540917047
58,-0.006926848335768722,1.1044894682889292,-0.07766007785179829
