Date,portfolio_return,equity_curve,drawdown
0,0.0012025650048830177,1.001202565004883,0.0
1,0.005477003719817794,1.0066861551777058,0.0
2,-0.002541363831583439,1.0041277993931814,-0.002541363831583321
3,0.0013845692072685795,1.0055180838243836,-0.0011603133184204806
4,-0.005787021563154415,0.9996991289911502,-0.006940620123381147
5,-0.00842708051682177,0.9912745839385453,-0.015309211475586393
6,-0.004272861916986228,0.9870390045195578,-0.01951665924587953
7,0.007879157151133616,0.994816039950466,-0.011791276920009364
8,7.879171628078071e-05,0.9948944232136373,-0.011713414258674226
9,0.015065296216721199,1.0098828024037148,0.0
10,0.02205035246002546,1.032151074140035,0.0
11,0.0077238949237488,1.040123300582127,0.0
12,0.014951970902461757,1.0556751939074034,0.0
13,0.022550990838956172,1.0794817155341223,0.0
14,0.0014991068669610603,1.0810999739866383,0.0
15,0.0032055005889933636,1.0845654405900131,0.0
16,0.00013657339763450873,1.0847135633771914,0.0
17,-0.014161361384899937,1.0693525426071044,-0.014161361384899873
18,-0.017917886706614882,1.0501920048992397,-0.03182550642260884
19,-0.00966326091366625,1.040043725546452,-0.041181229164003796
20,-0.003355686130960595,1.0365536652410432,-0.0443987240154029
21,-0.010221073198068559,1.0259589743548883,-0.05416599460540916
22,-0.004658911718215672,1.0211791220668578,-0.0585725517366289
23,0.012900885293164776,1.034353236784417,-0.04642730421474628
24,0.010493160277475258,1.0452068710815212,-0.03642131308164753
25,0.006016094412447996,1.0514949342984872,-0.0306243327273239
26,0.011306455551159464,1.0633836150354024,-0.019664129832929755
27,0.014427058939754106,1.078725113125087,-0.005520766453274262
28,0.028313637241617794,1.1092677446615338,0.0
29,0.02072498448116528,1.1322573014551012,0.0
30,0.01282638748229332,1.1467800723332202,0.0
31,0.004343148200848636,1.1517607081411434,0.0
32,-0.007621523086178484,1.1429825373142923,-0.007621523086178583
33,-0.008529824189829812,1.1332330972189557,-0.01608633702402462
34,-0.008704932224091345,1.1233683799135676,-0.024651238774587858
35,-0.004311886052135166,1.1185245434648086,-0.028856831494083135
36,-0.013366923443310703,1.1035733115228503,-0.04183802787999602
37,0.002205476297666706,1.1060072163041514,-0.03972482436115976
38,-0.00761139828191159,1.0975889548781923,-0.04703386118317954
39,-0.020280605297926614,1.075329186504944,-0.0663605913068126
40,-0.016434703577844455,1.0576564700761306,-0.081704678237279
41,-0.0038860411270465966,1.0535463735351278,-0.08527321162442347
42,-0.002282257323299548,1.0511419096086916,-0.08736085353601197
43,-0.005157931313875171,1.0457201918377943,-0.09206818356782687
44,-0.0023314424911188222,1.0432821553487228,-0.09418497438369555
45,-0.004653506945200196,1.0384272345930041,-0.09840019089646768
46,0.0017995186338234537,1.040295903751524,-0.09677774523973415
47,0.0023525930725198686,1.0427432966880608,-0.09465283082023923
48,0.00046391344788867953,1.0432270393260903,-0.09423282809344868
49,0.0006909483791686122,1.0439478553580175,-0.09360698973411574
50,9.60661373181522e-05,1.0440481433960433,-0.09351991605872734
51,-0.001670453829579415,1.042304109176642,-0.09503414918638453
52,0.0022033327433252313,1.0446006519488935,-0.09304020829569559
53,0.012341968481338856,1.0574930802708327,-0.0818465391326395
54,0.014884176389084052,1.0732329938078196,-0.06818058106884173
55,0.005920486220941837,1.079587054959519,-0.06266375703865379
56,-7.4095624666039965e-06,1.0795790556917972,-0.06267070229009808
57,-0.007297438627968304,1.0717008937888464,-0.06951080531433274
58,-0.007279533534634631,1.0638994111934126,-0.07628433261066225
59,-0.012775770448592072,1.0503072765356134,-0.08808551193699632
60,-0.00023239036244713992,1.0500631952469384,-0.08829743207539809
61,-0.002217862249633734,1.0477342997264705,-0.09031946278369218
62,-0.004382337262030977,1.0431427746640713,-0.09430598969847948
63,-0.0005400345686109508,1.042579441505756,-0.09479509577262601
64,-0.0021268862971806856,1.0403619935778952,-0.09672036367956804
65,-0.004277969720123337,1.0359113564714018,-0.10058456661255089
66,0.0047457397565836,1.0408275221801044,-0.09631617503263934
67,0.006356247695578397,1.0474432797194562,-0.09057213680265919
68,-0.0003008009148850442,1.0471282078226263,-0.09084569353593097
69,-0.0038470489184979162,1.0430998543831935,-0.09434325462736126
70,0.0016875242245786614,1.0448601106561195,-0.092814936930392
71,-0.011870836154876035,1.032456747477755,-0.1035839821762422
72,-0.011564855921329392,1.0205165339481705,-0.11395090426794574
73,0.00155002860654687,1.0220983637692442,-0.11257750282275614
74,0.0024187438738812604,1.024570557925115,-0.1104310550941644
75,0.010822051398292102,1.0356585131641574,-0.10080409425006898
76,0.006392962037644498,1.042279438722779,-0.0950555689602045
77,0.02017586217566504,1.0633083250269793,-0.07679753484290996
78,0.009927281159971128,1.07386408572926,-0.06763264440371708
79,0.008020396352076381,1.0824769013250688,-0.06015468866609763
