date,portfolio_return,equity_curve,dd_only_exposure
2016-01-04,0.0029171886786594,1.0029171886786594,1.0
2016-01-05,0.0059731280760447,1.0089077414963037,1.0
2016-01-06,-0.0023026381384945,1.0065845920525118,0.9919869827258534
2016-01-07,-0.000832866179372089,1.0057462417891143,0.9890947925561797
2016-01-08,-0.008134284006324077,0.9975652162201085,0.9614193985318573
2016-01-11,-0.008992939593474695,0.9885941724900895,0.9315324594046168
2016-01-12,-0.0024536674356302373,0.9861684911619968,0.9234386746654182
2016-01-13,0.006636687057694983,0.9927133828239982,0.9457113525221545
2016-01-14,0.0020163108676444297,0.9947150016062424,0.9525193225740534
2016-01-15,0.015667205218379426,1.0102994056702082,1.0
2016-01-19,0.024133210261939226,1.0346811736547594,1.0
2016-01-20,0.0086277766746581,1.043608171750526,1.0
2016-01-21,0.0191837537673411,1.0636284939469731,1.0
2016-01-22,0.0217455447113549,1.086757674918368,1.0
2016-01-25,0.003174083886862,1.09020713494325,1.0
2016-01-26,0.0046986341602975,1.0953296194292945,1.0
2016-01-27,0.0041395407864953,1.0998637810635785,1.0
2016-01-28,-0.0182080770534854,1.0798373765896352,0.9390865874255714
2016-01-29,-0.0190688820899744,1.0592460849791,0.8784543973473466
2016-02-01,-0.006244009394864703,1.052632142473017,0.859014605085914
2016-02-02,-0.0045732446553442,1.0478181981534087,0.8449825749696003
2016-02-03,-0.011310612176033007,1.0359667328831057,0.8114125058789583
2016-02-04,-0.001282907873765848,1.0346376830045305,0.8076374060098779
2016-02-05,0.013651382869276628,1.0487619181462067,0.8494131029298078
2016-02-08,0.010540568090378054,1.0598164645550223,0.8828273021108868
2016-02-09,0.007286691822091701,1.0675390205202135,0.9064655803253037
2016-02-10,0.013105949868159683,1.0815301334054557,0.950580915358185
2016-02-11,0.017480335365283404,1.1004356428450428,1.0
2016-02-12,0.03252223403585066,1.136224268363041,1.0
2016-02-16,0.0281994852481558,1.1682652078573412,1.0
2016-02-17,0.0182188005762617,1.189549598699479,1.0
2016-02-18,0.0041726002176716,1.1945131136139437,1.0
2016-02-19,-0.0118605640693007,1.1803455142983057,0.9596949391098022
2016-02-22,-0.011199322145280693,1.167126444640942,0.9227350918762276
2016-02-23,-0.009038439028149367,1.1565774434329141,0.8936503517388856
2016-02-24,-0.005383503744606835,1.1503510044352652,0.8766078348500521
2016-02-25,-0.015199080633878273,1.1328667267615906,0.830506406164895
2016-02-26,0.0009227249103694057,1.133912051110502,0.8332973744964272
2016-02-29,-0.00807254946349939,1.1247584899906544,0.8094220319930427
2016-03-01,-0.016748066517375954,1.1059209599843076,0.7623839754296315
2016-03-02,-0.012731943683066304,1.0918404366038648,0.7282983815919917
2016-03-03,-0.0025671663156235434,1.0890375006129795,0.7215453347571947
2016-03-04,-0.002047332214827476,1.0868078790548195,0.716205530545754
2016-03-07,-0.00415831894430866,1.082288585262522,0.7055189328786651
2016-03-08,-0.0015821563871371229,1.0805762354646233,0.7014885767421157
2016-03-09,-0.002662305957065417,1.0776994109158826,0.6947737173845112
2016-03-10,0.0018510111988161828,1.0796942445944455,0.6994576429592714
2016-03-11,0.0013649936482467886,1.0811680203803655,0.7029330864128362
2016-03-14,0.00032553432659339853,1.0815199776838142,0.7037638885606257
2016-03-15,0.0004080607734742939,1.0819613035624358,0.7048069774703012
2016-03-16,-0.00018408332572829203,1.0817621325273667,0.7043365127031894
