fold,train_days,test_start,test_end,chosen_floor,chosen_k,OOS_Sharpe_chosen,OOS_MDD_chosen,"OOS_Sharpe_fixed(0.3,5)","OOS_MDD_fixed(0.3,5)",OOS_Sharpe_incumbent,OOS_MDD_incumbent,fixed_beats_incumbent_sharpe,fixed_beats_incumbent_mdd
0,756,2019-01-04,2020-01-03,0.2,7,-0.7236963259666594,-0.05064258568395519,-0.6885032649839847,-0.07401703253409742,-0.6847530122014105,-0.1004694208933733,False,True
1,1008,2020-01-06,2021-01-04,0.2,7,5.451781441699079,-0.12244281494896847,5.451565671213495,-0.13666695922690064,5.368885461812611,-0.1524212759988931,True,True
2,1260,2021-01-05,2022-01-03,0.2,7,-1.1731790537239646,-0.200894532438455,-1.1448070136656543,-0.24720565358475521,-1.2174379373967574,-0.29777137527164577,True,True
3,1512,2022-01-04,2023-01-04,0.2,7,3.8170968810613632,-0.1712695808339202,3.5879547766977704,-0.20363074356389776,3.186606180453617,-0.2378852842564031,True,True
4,1764,2023-01-05,2024-01-05,0.2,7,3.7823426203626416,-0.08694315251120299,3.7657422216203216,-0.09468557709930725,3.534886204018124,-0.10769260273015802,True,True
5,2016,2024-01-08,2025-01-07,0.2,7,2.405350965025449,-0.19248035546120346,1.9390794017431918,-0.23803780562070842,1.4106658163429002,-0.2854441757884476,True,True
6,2268,2025-01-08,2026-01-09,0.2,7,0.7865158339530155,-0.09433778470558574,0.7894717418496965,-0.1426320858231226,0.7491973734660715,-0.20455598742621872,True,True
