metric,incumbent,challenger_dd_only,delta,boot_mean_delta,ci_lo,ci_hi,p_not_improved
Sharpe,2.0901126366076075,2.351633191360877,0.2615205547532695,0.26098466805292986,0.13260323743375876,0.390405517646579,0.0002
MDD,-0.36694948853663256,-0.2946753659433812,0.07227412259325139,0.059509815806929045,0.02587099986235753,0.11324996882382156,0.0
