floor,k,Sharpe,CAGR,MDD,Calmar,Vol,beats_incumbent_sharpe,beats_incumbent_mdd
0.2,3,2.2743733334799754,0.41004449971632706,-0.320794333771654,1.2782161545540347,0.1565156998293058,True,True
0.2,4,2.3439893093371404,0.40725724499394667,-0.2901558193535859,1.403581172010409,0.15063865262740933,True,True
0.2,5,2.404060926460685,0.4047740418304244,-0.26587372922706565,1.5224296247965625,0.14584488780026483,True,True
0.2,6,2.4565658471094456,0.4025360932551363,-0.24653664929763608,1.6327637063370928,0.1418449608453946,True,True
0.2,7,2.502975367374007,0.4004989745090428,-0.2310293187742143,1.7335417713820633,0.13844422545649362,True,True
0.25,3,2.255926758964547,0.4108158345852193,-0.33106596033957314,1.2408881727491616,0.158151999908298,True,True
0.25,4,2.321447159781028,0.4082402841638213,-0.3027760307926418,1.3483243144943906,0.15252536262492478,True,True
0.25,5,2.378083919595347,0.40594701019460877,-0.28040592057840363,1.447711978966945,0.14791693594902755,True,True
0.25,6,2.4276482910360504,0.40388022403760737,-0.26262294014095633,1.5378710779067308,0.14405954531210677,True,True
0.25,7,2.4714914331646427,0.40199828484315114,-0.2483819807231865,1.6184679889929894,0.1407722747938332,True,True
0.3,3,2.2373474872752337,0.4115756215421966,-0.34119637797779656,1.206271953944892,0.15982475910638802,True,True
0.3,4,2.2986211937118983,0.40920684247356176,-0.3151917708462728,1.2982789537139996,0.15446814349407323,True,True
0.3,5,2.351633191360877,0.4070989448361555,-0.2946753659433812,1.3815167193662716,0.1500649756280721,True,True
0.3,6,2.3980430224741442,0.40519923233044897,-0.27839490210652884,1.4554836646232767,0.14636948890484072,True,True
0.3,7,2.439093013482185,0.40346884372204395,-0.26537558875296674,1.5203690950550304,0.14321407767415992,True,True
0.35,3,2.2186677782065387,0.4123238418460484,-0.35118730065441106,1.1740852846265057,0.16153284476637975,True,True
0.35,4,2.2755768987087297,0.41015688587580623,-0.32740597632968305,1.2527470954372462,0.15646490659992646,True,True
0.35,5,2.3248174727922675,0.4082297939252786,-0.3086862922102297,1.3224746424672953,0.15228579121699862,True,True
0.35,6,2.367909698735713,0.4064930471809747,-0.29385801843678694,1.383297448690913,0.1487703497926639,True,True
0.35,7,2.405996267316978,0.4049105605141572,-0.2820167952145032,1.435767540745864,0.14576391749173698,True,True
0.4,3,2.1999178465270535,0.4130604770203745,-0.36104042499708455,1.1440837325175153,0.16327514819992484,True,True
0.4,4,2.252375055125007,0.4110903808662232,-0.3394215486087516,1.2111499182984509,0.15851361194647967,True,True
0.4,5,2.2977369950828663,0.40933950652155393,-0.3224428686981162,1.2694946803267457,0.15457624600678135,True,True
0.4,6,2.3373946975292337,0.40776159891105634,-0.3090176908637259,1.3195412785958447,0.1512577987445037,True,True
0.4,7,2.372398463050151,0.4063233462637945,-0.2983121468200439,1.362074426385688,0.14841622602014673,True,True
0.5,3,2.1623181733189516,0.4144989194031332,-0.3803399792391554,1.089811594963828,0.166858099839159,True,False
0.5,4,2.205718663098336,0.41290759432031043,-0.36286822364706417,1.137899566322776,0.16275895403584378,True,True
0.5,5,2.2431404649549775,0.41149532294210034,-0.34920936528131075,1.1783627927922673,0.15935397094317155,True,True
0.5,6,2.2757386189384254,0.4102226407053309,-0.33844790891240106,1.212070247452783,0.15647580040867987,True,True
0.5,7,2.3043932894417787,0.4090617772438223,-0.3298909518928327,1.2399908966788178,0.15400686954891768,True,True
0.6,3,2.124750903600017,0.415890806202047,-0.3991082716635638,1.0420500794647283,0.17056526026743235,True,False
0.6,4,2.1590471812563403,0.41465822573065014,-0.3855543097693517,1.0754859049006849,0.1671889445928585,True,False
0.6,5,2.188479403338038,0.4135660044962768,-0.37500708107118663,1.1028218542299222,0.16437491775717614,True,False
0.6,6,2.21398383831833,0.4125818260002647,-0.36672717482926376,1.1250375055853152,0.1619916373760602,True,True
0.6,7,2.2362796614173046,0.4116834588579439,-0.3601623139836708,1.143049794145339,0.15994527567465852,True,True
