Challenger,pairing,Sharpe_V1,Sharpe_challenger,dSharpe,dSharpe_ci_lo,dSharpe_ci_hi,P(dSharpe<=0),MDD_V1,MDD_challenger,dMDD,dMDD_ci_lo,dMDD_ci_hi,P(dMDD<=0 not shallower)
"DD Only (floor0.3,k5)",paired (same base),2.0901126366076075,2.351633191360877,0.2615205547532695,0.13260323743375876,0.390405517646579,0.0002,-0.36694948853663256,-0.2946753659433812,0.07227412259325139,0.02587099986235753,0.11324996882382156,0.0
"Combined DD+Vol (floor0.3,k5,clip0.5-1.3)",paired (same base),2.0901126366076075,2.2806991536673333,0.19058651705972585,0.02363155375476326,0.36590253276481766,0.0134,-0.36694948853663256,-0.31481056089125337,0.052138927645379196,-0.008420353787775451,0.0966961781804675,0.054
"Floor 0.5 (m*smooth(0.5,5),clip0.5-1.3)",paired (same base),2.0901126366076075,2.182780145726849,0.09266750911924149,-0.04378765717810521,0.22619033841327071,0.0876,-0.36694948853663256,-0.35470843776359495,0.01224105077303761,-0.03481625296293847,0.04887589006216148,0.3404
"DD k=1 (m*smooth(0.6,1),clip0.3-1.5)",paired (same base),2.0901126366076075,1.991960202187069,-0.09815243442053845,-0.2708403517849138,0.06112457065926516,0.8842,-0.36694948853663256,-0.44597473074305016,-0.0790252422064176,-0.11957580923899724,-0.012028975657648494,0.9934
"Historical DD Only (floor0.3,k5)",UNPAIRED (different base),2.0901126366076075,2.397791941509426,0.3076793049018187,-1.2065999244491263,1.8522094256753403,0.3556,-0.36694948853663256,-0.23185441337896118,0.13509507515767138,-0.10521862866097285,0.33655231533934443,0.1686
"Historical Combined (floor0.3,k5,clip0.5-1.3)",UNPAIRED (different base),2.0901126366076075,2.292276363543567,0.20216372693595952,-1.3620383095880877,1.733479370831523,0.4094,-0.36694948853663256,-0.24794607438627259,0.11900341415035998,-0.13531405677907907,0.3249418077569247,0.2202
Historical Floor 0.5 (clip0.5-1.3),UNPAIRED (different base),2.0901126366076075,2.2205233278926264,0.13041069128501892,-1.400513358969517,1.6780888978561415,0.426,-0.36694948853663256,-0.2774372691043909,0.08951221943224164,-0.16288098501613854,0.30207414024466683,0.2802
