Rank,Candidate,Group,Version,Overlay,Deployable (has book),Sharpe,Sortino,CAGR,Volatility,MDD,Calmar,Ulcer,MaxDD_duration_d,MaxDD_recovery_d,Longest_underwater_d,Time_underwater_frac,DD_frequency_gt5pct,Avg Exposure,Mean Turnover,Cost-adj Sharpe (10bps),Capacity @10% median ($),Ops worst Sharpe,Ops Sharpe drop,DeployQuality,Source,is_v1,Capacity @10% p05 ($),PaperQuality
1,"DD Only (floor0.3,k5)",B — deployment-base challenger,-,"smooth DD floor0.3 k5, no vol, no clip",True,2.351633191360877,4.3516901463806095,0.4070989448361555,0.1500649756280721,-0.2946753659433812,1.3815167193662716,0.14204129157513382,439,,439,0.887412040656763,27,0.6914387612835863,0.05319508303065681,2.2636048381974816,3250909962.0109444,2.1696478276284004,0.09395701056908123,9.297080235237283,recovered deployment base + overlay,False,728936249.3588676,
2,"Combined DD+Vol (floor0.3,k5,clip0.5-1.3)",B — deployment-base challenger,-,"(m*smooth(0.3,5)).clip(0.5,1.3)",True,2.2806991536673333,4.220771711284024,0.4256160064885832,0.16122014954270275,-0.31481056089125337,1.3519749950053486,0.14739182784243818,439,,439,0.8881939014855356,27,0.7276115580922188,0.055452176545808404,2.1955027319313127,3180501490.2863283,2.102759063337496,0.09274366859381677,6.471515363502178,recovered deployment base + overlay,False,682517268.8966097,
3,"Floor 0.3 (m*smooth(0.3,5),clip0.5-1.3)",B — deployment-base challenger,-,floor sweep 0.3,True,2.2806991536673333,4.220771711284024,0.4256160064885832,0.16122014954270275,-0.31481056089125337,1.3519749950053486,0.14739182784243818,439,,439,0.8881939014855356,27,0.7276115580922188,0.055452176545808404,2.1955027319313127,3180501490.2863283,2.102759063337496,0.09274366859381677,6.471515363502178,recovered deployment base + overlay,False,682517268.8966097,
4,"Floor 0.5 (m*smooth(0.5,5),clip0.5-1.3)",B — deployment-base challenger,-,floor sweep 0.5,True,2.182780145726849,3.944533685570922,0.4247489777901845,0.16873895254751836,-0.35470843776359495,1.1974594697216365,0.16358418043468273,439,,439,0.887412040656763,27,0.7874250520812773,0.058321166632466684,2.0968821241660143,2744036432.6735654,2.0026555047553445,0.09422661941066979,0.8830530503074377,recovered deployment base + overlay,False,675424266.2085305,
5,"DD k=5 (m*smooth(0.6,5),clip0.3-1.5)",B — deployment-base challenger,-,k-sweep k=5,True,2.132373477360066,3.8038115686637726,0.4255773057917902,0.17337085502670707,-0.3808153998335949,1.1175422684527856,0.17153963253374202,439,,439,0.8870211102423768,28,0.8281021436927968,0.060134593522803106,2.046022589646529,2522267921.324881,1.9508153516203521,0.09520723802617703,-2.102936035932388,recovered deployment base + overlay,False,674426815.5467608,
6,"Clip 0.5-1.2 (m*smooth(0.6,5))",B — deployment-base challenger,-,clip sweep 0.5-1.2,True,2.1316746132753512,3.80170088492684,0.4225004597328059,0.172329161346865,-0.38081539983359414,1.1094626423128555,0.17111177941260386,439,,439,0.8866301798279906,28,0.8254160557549357,0.05963726418650097,2.0454670763447047,2521042805.2586727,1.950248153907142,0.0952189224375628,-2.1625287746651907,recovered deployment base + overlay,False,681016453.9147669,
7,Deployment Candidate V1 (baseline),A — V1 baseline,V1,"dual-layer smooth-DD (strategy+portfolio, k5 floor0.55)",True,2.0901126366076075,3.6191401223336594,0.37702089838981023,0.15917505750943411,-0.36694948853663256,1.0274463111894274,0.16604543096364155,439,,439,0.8921032056293979,27,0.7969786068609283,0.05808692331820349,1.99888090750734,2603298844.2758055,1.9000573777444136,0.0988235297629263,-3.875326003299187,exp_005_risk_engine_final (as shipped),True,696539144.231795,
8,"Clip 0.8-1.0 (m*smooth(0.6,5))",B — deployment-base challenger,-,clip sweep 0.8-1.0,True,2.083998385920058,3.6311126927435957,0.4029153832878347,0.16938292720888073,-0.4063193923250974,0.9916223318365787,0.1722170867612582,439,,439,0.8846755277560594,27,0.8694294010526183,0.06031408423785,1.9949438286278387,2314862027.2122183,1.8960082772744158,0.09893555135342291,-5.2407878571659,recovered deployment base + overlay,False,684092399.6154511,
9,"DD k=1 (m*smooth(0.6,1),clip0.3-1.5)",B — deployment-base challenger,-,k-sweep k=1,True,1.991960202187069,3.4387703230514557,0.42805299663171104,0.18776370654628258,-0.44597473074305016,0.9598144628475267,0.19403147260470488,439,,439,0.8846755277560594,28,0.9421183933419592,0.065316483106287,1.9050049308805326,2119841997.1509452,1.8079788579167517,0.09702607296378085,-9.741585341486395,recovered deployment base + overlay,False,640296118.6712831,
10,"Historical DD Only (floor0.3,k5)",C — historical low-MDD challenger,-,smooth DD floor0.3 k5 (nb cell 20),False,2.397791941509426,4.483671399991383,0.3618839999007848,0.13252062792716088,-0.23185441337896118,1.5608242889441701,0.12071559350305294,439,,439,0.8979671618451915,26,0.7148706130205164,,,,,,,final_returns_v2_with_dates.csv + overlay (robustness nb),False,,6.232027720441705
