series,Sharpe,CAGR,MDD,Vol
deployment base (raw),1.9778742143943524,0.42099009806978693,-0.46912409446112724,0.18648417836935716
v2 base (raw),2.1507316913726475,0.37494288756775274,-0.34282609171557865,0.1535804643142551
"DD-Only(0.3,5) on deployment base",2.351633191360877,0.4070989448361555,-0.2946753659433812,0.1500649756280721
"DD-Only(0.3,5) on v2 base",2.397791941509426,0.3618839999007848,-0.23185441337896118,0.13252062792716088
