Candidate,Sharpe,Sharpe_ci_lo,Sharpe_ci_hi,MDD,MDD_ci_lo,MDD_ci_hi
Deployment Candidate V1 (baseline),2.0901126366076075,1.506511437017955,2.697391236883347,-0.36694948853663256,-0.24702603564435135,-0.10592495044975474
"DD Only (floor0.3,k5)",2.351633191360877,1.7355157542172146,2.9043462896999745,-0.2946753659433812,-0.20529732616758942,-0.09055496185857304
"Combined DD+Vol (floor0.3,k5,clip0.5-1.3)",2.2806991536673333,1.735007875326087,2.826540876881877,-0.31481056089125337,-0.22706653266783142,-0.09821866137897359
"Floor 0.5 (m*smooth(0.5,5),clip0.5-1.3)",2.182780145726849,1.6146595008374398,2.73500000948045,-0.35470843776359495,-0.2430703532118918,-0.1060891493506968
"DD k=1 (m*smooth(0.6,1),clip0.3-1.5)",1.991960202187069,1.383040170115699,2.5802030206152375,-0.44597473074305016,-0.2970812351045321,-0.12613426761058733
"Historical DD Only (floor0.3,k5)",2.397791941509426,1.8125615470203833,2.9792058006474513,-0.23185441337896118,-0.18512061051142953,-0.07770633758408017
"Historical Combined (floor0.3,k5,clip0.5-1.3)",2.292276363543567,1.710326816814522,2.846483705289301,-0.24794607438627259,-0.20083525925071233,-0.08686366494805431
Historical Floor 0.5 (clip0.5-1.3),2.2205233278926264,1.6468521468160577,2.792651116786753,-0.2774372691043909,-0.21502832133155197,-0.09081429293898183
